 INFO  Accepting connections at http://localhost:3000
 HTTP  2026-03-03 12:58:43 p.m. ::1 GET /
 HTTP  2026-03-03 12:58:43 p.m. ::1 Returned 200 in 79 ms
 HTTP  2026-03-03 12:59:21 p.m. ::1 GET /
 HTTP  2026-03-03 12:59:21 p.m. ::1 Returned 200 in 16 ms
 HTTP  2026-03-03 12:59:22 p.m. ::1 GET /favicon.ico
 HTTP  2026-03-03 12:59:22 p.m. ::1 Returned 404 in 4 ms
 HTTP  2026-03-03 12:59:30 p.m. ::1 GET /
 HTTP  2026-03-03 12:59:30 p.m. ::1 Returned 200 in 6 ms
 HTTP  2026-03-03 1:03:15 p.m. ::1 GET /
 HTTP  2026-03-03 1:03:15 p.m. ::1 Returned 200 in 6 ms
 HTTP  2026-03-03 1:05:13 p.m. ::1 GET /
 HTTP  2026-03-03 1:05:13 p.m. ::1 Returned 200 in 3 ms
 HTTP  2026-03-03 1:05:32 p.m. ::1 GET /
 HTTP  2026-03-03 1:05:32 p.m. ::1 Returned 200 in 2 ms
 HTTP  2026-03-03 1:05:32 p.m. ::1 GET /styles.css
 HTTP  2026-03-03 1:05:32 p.m. ::1 GET /script.js
 HTTP  2026-03-03 1:05:32 p.m. ::1 Returned 200 in 3 ms
 HTTP  2026-03-03 1:05:32 p.m. ::1 Returned 200 in 2 ms
 HTTP  2026-03-03 1:10:52 p.m. ::1 GET /
 HTTP  2026-03-03 1:10:52 p.m. ::1 Returned 200 in 2 ms
 HTTP  2026-03-03 1:11:47 p.m. ::1 GET /
 HTTP  2026-03-03 1:11:47 p.m. ::1 Returned 200 in 1 ms
 HTTP  2026-03-03 1:11:47 p.m. ::1 GET /styles.css
 HTTP  2026-03-03 1:11:47 p.m. ::1 GET /script.js
 HTTP  2026-03-03 1:11:47 p.m. ::1 Returned 200 in 3 ms
 HTTP  2026-03-03 1:11:47 p.m. ::1 Returned 200 in 3 ms
 HTTP  2026-03-03 1:17:20 p.m. ::1 GET /
 HTTP  2026-03-03 1:17:20 p.m. ::1 Returned 200 in 2 ms
 HTTP  2026-03-03 1:17:20 p.m. ::1 GET /src/main.jsx
 HTTP  2026-03-03 1:17:20 p.m. ::1 Returned 200 in 2 ms
 HTTP  2026-03-03 1:17:25 p.m. ::1 GET /
 HTTP  2026-03-03 1:17:25 p.m. ::1 Returned 304 in 1 ms
 HTTP  2026-03-03 1:17:26 p.m. ::1 GET /src/main.jsx
 HTTP  2026-03-03 1:17:26 p.m. ::1 Returned 304 in 1 ms
 HTTP  2026-03-03 3:34:52 p.m. ::1 GET /
 HTTP  2026-03-03 3:34:52 p.m. ::1 Returned 304 in 23 ms
 HTTP  2026-03-03 3:34:53 p.m. ::1 GET /src/main.jsx
 HTTP  2026-03-03 3:34:53 p.m. ::1 Returned 304 in 1 ms
 HTTP  2026-03-03 3:34:53 p.m. ::1 GET /favicon.ico
 HTTP  2026-03-03 3:34:53 p.m. ::1 Returned 404 in 20 ms
 HTTP  2026-03-03 5:16:41 p.m. ::1 GET /
 HTTP  2026-03-03 5:16:41 p.m. ::1 Returned 200 in 26 ms
 HTTP  2026-03-03 6:54:43 p.m. ::1 GET /
 HTTP  2026-03-03 6:54:43 p.m. ::1 Returned 200 in 43 ms
 HTTP  2026-03-03 6:58:33 p.m. ::1 GET /
 HTTP  2026-03-03 6:58:33 p.m. ::1 Returned 200 in 12 ms
